step: [200],local_average_loss: [0.06916970]
step: [400],local_average_loss: [0.06850385]
step: [600],local_average_loss: [0.06881643]
step: [800],local_average_loss: [0.06924570]
step: [1000],local_average_loss: [0.06912826]
step: [1200],local_average_loss: [0.06894287]
step: [1400],local_average_loss: [0.06916181]
step: [1600],local_average_loss: [0.06877946]
step: [1800],local_average_loss: [0.06903754]
step: [2000],local_average_loss: [0.06932973]
step: [2200],local_average_loss: [0.06886256]
step: [2400],local_average_loss: [0.06914978]
step: [2600],local_average_loss: [0.06924205]
step: [2800],local_average_loss: [0.06928998]
step: [3000],local_average_loss: [0.06875850]
step: [3200],local_average_loss: [0.06882624]
step: [3400],local_average_loss: [0.06864771]
step: [3600],local_average_loss: [0.06884710]
step: [3800],local_average_loss: [0.06866414]
step: [4000],local_average_loss: [0.06874148]
step: [4200],local_average_loss: [0.06957441]
step: [4400],local_average_loss: [0.06890171]
step: [4600],local_average_loss: [0.06890640]
step: [4800],local_average_loss: [0.06882828]
step: [5000],local_average_loss: [0.06908392]
step: [5200],local_average_loss: [0.06903400]
step: [5400],local_average_loss: [0.06897440]
step: [5600],local_average_loss: [0.06868192]
step: [5800],local_average_loss: [0.06923237]
step: [6000],local_average_loss: [0.06883947]
step: [6200],local_average_loss: [0.06849812]
step: [6400],local_average_loss: [0.06931857]
step: [6600],local_average_loss: [0.06883469]
step: [6800],local_average_loss: [0.06907053]
step: [7000],local_average_loss: [0.06907356]
step: [7200],local_average_loss: [0.06914436]
step: [7400],local_average_loss: [0.06883516]
step: [7600],local_average_loss: [0.06845490]
step: [7800],local_average_loss: [0.06859193]
step: [8000],local_average_loss: [0.06869958]
step: [8200],local_average_loss: [0.06837727]
step: [8400],local_average_loss: [0.06881211]
step: [8600],local_average_loss: [0.06915950]
step: [8800],local_average_loss: [0.06893373]
step: [9000],local_average_loss: [0.06882206]
step: [9200],local_average_loss: [0.06868883]
step: [9400],local_average_loss: [0.06852834]
step: [9600],local_average_loss: [0.06857103]
step: [9800],local_average_loss: [0.06829435]
step: [10000],local_average_loss: [0.06910816]
step: [10200],local_average_loss: [0.06852152]
step: [10400],local_average_loss: [0.06915547]
step: [10600],local_average_loss: [0.06893543]
step: [10800],local_average_loss: [0.06891867]
step: [11000],local_average_loss: [0.06881881]
step: [11200],local_average_loss: [0.06917997]
step: [11400],local_average_loss: [0.06843831]
step: [11600],local_average_loss: [0.06893205]
step: [11800],local_average_loss: [0.06954807]
step: [12000],local_average_loss: [0.06883235]
step: [12200],local_average_loss: [0.06874109]
step: [12400],local_average_loss: [0.06919752]
step: [12600],local_average_loss: [0.06856783]
step: [12800],local_average_loss: [0.06915204]
step: [13000],local_average_loss: [0.06863532]
step: [13200],local_average_loss: [0.06847839]
step: [13400],local_average_loss: [0.06873503]
step: [13600],local_average_loss: [0.06854021]
step: [13800],local_average_loss: [0.06899493]
step: [14000],local_average_loss: [0.06867907]
step: [14200],local_average_loss: [0.06861444]
step: [14400],local_average_loss: [0.06822765]
step: [14600],local_average_loss: [0.06911674]
step: [14800],local_average_loss: [0.06838592]
step: [15000],local_average_loss: [0.06845496]
step: [15200],local_average_loss: [0.06865897]
step: [15400],local_average_loss: [0.06856123]
step: [15600],local_average_loss: [0.06885433]
step: [15800],local_average_loss: [0.06880668]
step: [16000],local_average_loss: [0.06896771]
step: [16200],local_average_loss: [0.06842403]
step: [16400],local_average_loss: [0.06886163]
step: [16600],local_average_loss: [0.06910706]
step: [16800],local_average_loss: [0.06876628]
step: [17000],local_average_loss: [0.06905489]
step: [17200],local_average_loss: [0.06859393]
step: [17400],local_average_loss: [0.06890298]
step: [17600],local_average_loss: [0.06879533]
step: [17800],local_average_loss: [0.06915206]
step: [18000],local_average_loss: [0.06866560]
step: [18200],local_average_loss: [0.06877450]
step: [18400],local_average_loss: [0.06870740]
step: [18600],local_average_loss: [0.06879646]
step: [18800],local_average_loss: [0.06930361]
step: [19000],local_average_loss: [0.06885409]
step: [19200],local_average_loss: [0.06923146]
step: [19400],local_average_loss: [0.06892243]
step: [19600],local_average_loss: [0.06847889]
step: [19800],local_average_loss: [0.06918571]
step: [20000],local_average_loss: [0.06882497]
step: [20200],local_average_loss: [0.06861415]
step: [20400],local_average_loss: [0.06881808]
step: [20600],local_average_loss: [0.06857739]
step: [20800],local_average_loss: [0.06845536]
step: [21000],local_average_loss: [0.06884228]
step: [21200],local_average_loss: [0.06878503]
